iter	Passed	Remaining
0	0	35
1	0	33
2	1	32
3	1	27
4	1	27
5	2	40
6	2	39
7	3	39
8	3	36
9	3	34
10	4	32
11	4	31
12	4	30
13	4	29
14	5	28
15	5	28
16	5	27
17	6	27
18	6	26
19	6	26
20	6	25
21	7	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	10	20
35	11	19
36	11	19
37	11	19
38	12	18
39	12	18
40	12	18
41	13	18
42	13	18
43	13	17
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	11
64	21	11
65	22	11
66	22	11
67	22	10
68	23	10
69	23	10
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	26	5
82	26	5
83	27	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	29	1
94	29	1
95	30	1
96	30	0
97	30	0
98	31	0
99	31	0
